"","condition","numPeaks","critRes","medianRes"
"4","pH 3.5/C4",10,0.0263504055498652,3.21517020810984
"6","pH 3.5/C6",10,0.000503371039088738,3.63038620801603
"9","pH 3.5/C9",9,0.030679552806893,5.04739855168561
"8","pH 3.5/C8",9,0.01755169772958,7.97171400829887
"3","pH 3.5/C3",9,0.0141383575629908,5.26708290249134
"5","pH 3.5/C5",8,0.0155732882846871,2.03256864195884
"2","pH 3.5/C2",8,0.0058892120347902,2.90047958843625
"1","pH 3.5/C1",8,0.00332148917336937,1.39197322700371
"7","pH 3.5/C7",6,1.3259742069537,9.21649225339094
